2024-11-11 15:15:17.938,system,INFO,Start rsu module.
2024-11-11 15:15:17.938,system,INFO,Run VehicleSocket modules process
2024-11-11 15:15:17.939,system,INFO,MY BIND IP: ('192.168.11.200', 63112)
2024-11-11 15:15:17.940,system,INFO,Run ObuSocket modules process
2024-11-11 15:15:17.940,system,INFO,Run MiddleWare Process.
2024-11-11 15:15:17.941,system,INFO,MY BIND IP: ('192.168.11.200', 63111)
2024-11-11 15:15:17.942,system,INFO,MY BIND IP: ('192.168.11.200', 63114)
2024-11-11 15:15:17.942,system,INFO,MY BIND IP: ('localhost', 28000)
2024-11-11 15:15:17.943,system,INFO,VehicleSocket::connect_remote,Connecting ('localhost', 20000)...
2024-11-11 15:15:17.944,system,INFO,VehicleSocket::connect_remote,Connected VehicleSocket socket.
2024-11-11 15:15:48.472,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:48.545,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:48.618,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:48.831,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:48.871,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:48.983,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:49.068,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:49.192,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:49.270,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:49.375,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:49.474,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:49.573,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:49.654,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:49.826,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:50.000,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:50.056,system,ERROR,msg_type:2,'NoneType' object is not callable
2024-11-11 15:15:50.174,system,ERROR,msg_type:2,'NoneType' object is not callable
